ID,Title,Brand,Price,Category,Subcategory,Total Price,Sale Price,Description,Ingredients & How to use,Photo_Links
53229551,Atulya hibiscus & black seed hair oil - 200ml,Atulya,599,HAIR CARE,HAIR OIL,"1,391","This item: atulya hibiscus & black seed hair oil - 200ml
Sale price: 329
Atulya hibiscus & black seed hair shampoo - 300ml
Sale price: 324
Atulya keratin & wheat protein shampoo - 300ml
Sale price: 349
Atulya amla & bhringraj hair oil - 200ml
Sale price: 389
","Atulya hibiscus & black seed hair oil is a non-sticky & non-greasy hair oil that penetrates deeply into the scalp, making it healthy. it makes hair silky and strong. this hair oil controls dandruff, reduces hair fall, calms irritated scalp, and tames frizzy hair.

it helps replenish hair nutrients and improve the overall health of the hair by protecting the cuticle.

it protects the hair and repairs dull, dry, and damaged hair.

it deeply conditions, detangles, moisturizes, and strengthens the hair.

this hair oil controls dandruff tames frizzy hair and reduces hair fall.

free from harsh chemicals like silicone and mineral oil, this hair oil suits all hair types.","Hibiscus
  / Black seed
1- Take some oil into your palm
2- Apply to your scalp & hair. Gently massage the oil and let it absorb completely
3- Leave the oil for 30 minutes orovernight. Rinse your hair thoroughly with atulya Hibiscus & Blackseed Hair Shampoo","https://myatulya.com/cdn/shop/files/Artboard1copy5_c6ca20f3-f9f4-4bd2-8fca-6c6b3b3eb578.jpg?v=1701858671&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_f07723e7-54c2-4be9-a73b-feb3d0c4de31.jpg?v=1701858670&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_5df81483-d130-4513-a90d-bc206c094d28.jpg?v=1701858669&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_e31324a2-2031-495c-affe-341a1abf79fd.jpg?v=1701858670&width=1080"
55845701,Atulya neem cold pressed oil 200ml,Atulya,349,HAIR CARE,HAIR OIL,"1,069","This item: atulya neem cold pressed oil 200ml
Sale price: 227
Atulya pure cold pressed castor oil - hexane, mineral oil, silicone & synthetic fragrance-free (100% natural)
Sale price: 194
Atulya hibiscus & black seed hair mask - 200gm
Sale price: 324
Atulya hibiscus & black seed hair shampoo - 300ml
Sale price: 324
","Neem oil brings an amazing number of benefits to skin & hair with just a few drops. neem oil nourishes with antibacterial, anti-inflammatory, and anti-fungal properties, resolving even prolonged skin conditions.                                   
why it's good to use :

neem oil is known as the miraculous herbal hair & its advantages include enhancing hair growth, fixing split ends, curbing dandruff & lice, & moisturizing dry/brittle nails
neem oil is abundant in essential fatty acids & vitamin e that works to fade fine lines & wrinkles, reduce acne, stimulate hair growth, and deeply hydrate the skin","Neem
1- Take some oil into your palm
2- Apply to your scalp & hair. Gently massage the oil and let it absorb completely
3- Leave the oil for 30 minutes orovernight. Rinse your hair thoroughly with atulya Neem & Sage Hair
Shampoo","https://myatulya.com/cdn/shop/files/Artboard1copy46.jpg?v=1701857912&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_495c353e-7ed4-4126-be4b-7f616debdd12.jpg?v=1701857913&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_6fa48187-014c-4f67-9095-a7a8823e59e5.jpg?v=1701857915&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_281d8bfe-7fa5-40d9-a393-93f8b3c781c0.jpg?v=1701857913&width=1080"
29933247,Atulya moroccan argan hair oil - 200ml,Atulya,599,HAIR CARE,HAIR OIL,"1,371","This item: atulya moroccan argan hair oil - 200ml
Sale price: 429
Atulya moroccan argan oil shampoo - 300ml
Sale price: 319
Atulya moroccan argan oil hair mask - 200gm
Sale price: 324
Atulya moroccan argan oil hair conditioner - 300m
Sale price: 299
","Atulya moroccan argan oil hair oil softens and restores rough hair by deeply hydrating them. it also aids in the restoration of hair strength when it has lost its luster and quality due to the excessive use of heat-styling products. it helps improve the overall hair texture, calms irritated scalp and makes hair strong.  

it can be applied as a serum for detangling damp hair. 

this nourishing hair oil adds strength to hair follicles helps promote hair growth and controls hair loss. 

it helps protect the hair from heat damage that may be used due to the excessive use of heat-styling products. 

it replaces the lipids in your hair when it starts to get extremely fine since it is high in fatty acids. 

 free from harsh chemicals like silicone and mineral oil, this oil suits all hair types.","Argan
  Oil / Bhringraj Extracts
1- Take some oil into your palm
2- Apply to your scalp & hair. Gently massage the oil and let it absorb completely
3- Leave the oil for 30 minutes orovernight. Rinse your hair thoroughly with atulya Amla & Bhringraj
Hair Shampoo","https://myatulya.com/cdn/shop/files/MoroccanArganOilHairOilA_ContentNew-01.jpg?v=1690794894&width=1080, https://myatulya.com/cdn/shop/files/MoroccanArganOilHairOilA_ContentNew-02.jpg?v=1690794892&width=1080, https://myatulya.com/cdn/shop/files/MoroccanArganOilHairOilA_ContentNew-03.jpg?v=1690794893&width=1080, https://myatulya.com/cdn/shop/files/MoroccanArganOilHairOilA_ContentNew-04.jpg?v=1690794893&width=1080"
41086324,"Atulya pure cold pressed castor oil - hexane, mineral oil, silicone & synthetic fragrance-free (100% natural)",Atulya,299,HAIR CARE,HAIR OIL,"1,266","This item: atulya pure cold pressed castor oil - hexane, mineral oil, silicone & synthetic fragrance-free (100% natural)
Sale price: 194
Atulya hibiscus & black seed hair oil - 200ml
Sale price: 329
Atulya pure cold pressed sweet almond oil 100ml
Sale price: 419
Atulya amla & bhringraj shampoo - 300ml
Sale price: 324
","Atulya castor oil is a multi-use essential oil produced by cold-pressing handpicked castor seeds. it is suitable for use on your face, body, hair, and nails.
why it's good to use :

castor oil rejuvenates the skin and body and is appropriate for all skin types. it hydrates the skin.
lt can be used as a serum for eyelashes and eyebrows. it may also be used as a gentle remover of eye makeup. -castor oil helps to manage hair that is good and gorgeous.","Castor
  Oil
1- Take some oil into your palm
2- Apply to your scalp & hair. Gently massage the oil and let it absorb completely
3- Leave the oil for 30 minutes orovernight. Rinse your hair thoroughly with atulya Amla & Bhringraj
Hair Shampoo","https://myatulya.com/cdn/shop/files/Artboard1copy4.jpg?v=1701860347&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_0d22a776-328c-4bbd-a29b-77f9799f85b5.jpg?v=1701860348&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_d448fdbc-ea1e-4ff3-9b83-6ff0ea87f531.jpg?v=1701860347&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_f7832706-d58f-43ef-8ea4-e03ed7cede74.jpg?v=1701860349&width=1080"
78849002,Atulya onion & bhringraj hair oil - 200ml,Atulya,599,HAIR CARE,HAIR OIL,"1,706","This item: atulya onion & bhringraj hair oil - 200ml
Sale price: 389
Atulya hibiscus & black seed hair oil - 200ml
Sale price: 329
Atulya amla & bhringraj hair oil - 200ml
Sale price: 389
Atulya onion & bhringraj shampoo + conditioner set (hair fall defence pack)
Sale price: 599
","Atulya onion & bhringraj hair oil has a special combination of natural ingredients that deeply nourishes hair follicles by reducing dandruff. also, this hair oil promotes hair growth by making hair healthy and voluminous. it controls hair fall and hair thinning.

it improves hair health and revives thin and dull hair.

this hair oil prevents breakage, strengthens the roots, and thickens the strands.

rich in antioxidants, nutrients, and vitamin e, this hair oil helps to build a barrier that protects the strands and softens them.

this hair oil revives your hair, nourishes each strand, and stimulates hair growth.

free from harsh chemicals like mineral oil and silicone, this oil suits all hair types.","Red
  Onion / Bhrinaraj
1- Take some oil into your palm
2- Apply to your scalp & hair. Gently massage the oil and let it absorb completely
3- Leave the oil for 30 minutes orovernight. Rinse your hair thoroughly with atulya Onion & Bhringraj Hair Shampoo","https://myatulya.com/cdn/shop/files/Artboard1copy2_d50bb147-f7ec-46c4-b249-5e56c83f4816.jpg?v=1701857040&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_e6a12c18-9667-47b1-adb0-abc82d46c487.jpg?v=1701857041&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_c561788e-a578-4c4b-96e7-1387ac1bab41.jpg?v=1701857042&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_2019117e-4bf5-4171-873d-1aef090d0e8e.jpg?v=1701857042&width=1080"
30019274,Atulya black seed kalonji cold pressed oil 100ml,Atulya,599,HAIR CARE,HAIR OIL,"1,171","This item: atulya black seed kalonji cold pressed oil 100ml
Sale price: 329
Atulya hibiscus & black seed hair shampoo - 300ml
Sale price: 324
Atulya silicone massage bath brush
Sale price: 194
Atulya tea tree anti-acne face mask - 200gm
Sale price: 324
","Atulya black seed oil is enriched with essential nutrients and vitamins, which work well for hair and skin. it can be applied to acne and scars to preserve the skin's natural shine. it helps to regulate the loss of hair and maintains hair moisture.","Black
  Seed Kalonji
1- Take some oil into your palm
2- Apply to your scalp & hair. Gently massage the oil and let it absorb completely
3- Leave the oil for 30 minutes orovernight. Rinse your hair thoroughly with atulya Amla & Bhringraj
Hair Shampoo","https://myatulya.com/cdn/shop/files/BlackSeedKalonjiHairOilA_ContentNew-01_9ee8113f-7c64-4b6d-ab51-fbdc80d0d3e6.jpg?v=1690870558&width=1080, https://myatulya.com/cdn/shop/files/BlackSeedKalonjiHairOilA_ContentNew-02.jpg?v=1690870558&width=1080, https://myatulya.com/cdn/shop/files/BlackSeedKalonjiHairOilA_ContentNew-03.jpg?v=1690870557&width=1080, https://myatulya.com/cdn/shop/files/BlackSeedKalonjiHairOilA_ContentNew-04.jpg?v=1690870557&width=1080"
38902104,Atulya pure cold pressed sweet almond oil 100ml,Atulya,599,HAIR CARE,HAIR OIL,"1,331","This item: atulya pure cold pressed sweet almond oil 100ml
Sale price: 419
Atulya pure cold pressed castor oil - hexane, mineral oil, silicone & synthetic fragrance-free (100% natural)
Sale price: 194
Atulya hibiscus & black seed hair oil - 200ml
Sale price: 329
Atulya amla & bhringraj hair oil - 200ml
Sale price: 389
","Atulya sweet almond oil is enriched with protein, vitamin e, omega-9, and fatty acids that help manages scalp infection inflammation, makes hair long  safe, mend wounds &amp; stretch marks, reduces fine lines other signs of aging, nourishes hair smoothed hair cuticles, penetrates hair shaft hydrates hair, is great for healing brittle nails, and supports hair growth.
why it's good to use:   

daily massage with sweet almond oil relaxes, tones, and nourishes the skin and muscle tissue, as well as flushes the toxins from the body to give the skin luster. for its nourishing and conditioning properties, this multi-purpose oil may also be applied to the hair.
it gives shiny healthy hair, makes hair less prone to split ends, enhances skin complexion, combats aging, and naturally tightens skin.
net content: 100 ml suitable for all hair/skin type based on the hair texture, the results can differ from user to user. please note that to get visible results when using the product, consistency and patience are important. overnight outcomes should not be expected.

how to use

depending on the area to be used on, take the appropriate amount of oil. massage the oil gently on the area. allow it to be absorbed and wash off afterward. use lukewarm water to rinse off the skin, and if used on the hair scalp, then shampoo.
care tips to reduce hair loss, mix sweet almond oil and castor oil in equal quantities.
apply on your scalp and keep for a minimum of an hour. wash off with lukewarm water using a mild shampoo. free from no hexane,mineral oil,silicone,synthetic fragrance   key ingredients  sweet almond kernel oil (prunus amygdalus dulcis), vitamin e (tocopheryl acetate)","Vitamin
  E / Almond
1- Take some oil into your palm
2- Apply to your scalp & hair. Gently massage the oil and let it absorb completely
3- Leave the oil for 30 minutes or overnight. Rinse your hair thoroughly with atulya Amla & Bhringraj Hair Shampoo","https://myatulya.com/cdn/shop/files/AlmondHairOilA_ContentNew-01.jpg?v=1690871374&width=1080, https://myatulya.com/cdn/shop/files/AlmondHairOilA_ContentNew-02.jpg?v=1690871376&width=1080, https://myatulya.com/cdn/shop/files/AlmondHairOilA_ContentNew-03.jpg?v=1690871375&width=1080, https://myatulya.com/cdn/shop/files/AlmondHairOilA_ContentNew-04.jpg?v=1690871376&width=1080"
38955408,Atulya keratin & wheat protein hair oil - 200ml,Atulya,599,HAIR CARE,HAIR OIL,"1,224","This item: atulya keratin & wheat protein hair oil - 200ml
Sale price: 389
Atulya keratin & wheat protein shampoo - 300ml
Sale price: 349
Atulya keratin & wheat protein conditioner - 300ml
Sale price: 324
Atulya organic henna powder - 100gm
Sale price: 162
","Atulya keratin & wheat protein hair oil helps to make every day a good hair day with its natural ingredients. it rebuilds the strength of the hair, tames frizz and hydrates each hair strand. it nourishes dry and damaged hair, making them soft and manageable.

it protects hair from contamination, dryness, and damage due to regular hair treatments. 

this hair oil control split ends and keep hair soft & shiny.

it replenishes the loss of keratin and rebuilds hair power by minimizing breakage.

this hair oil helps preserve moisture and provides volume for good hair health.

free from harsh chemicals like mineral oil and silicone, this oil suits all hair types.","Veg
  Keratin / Wheat
1- Take some oil into your palm
2- Apply to your scalp & hair. Gently massage the oil and let it absorb completely
3- Leave the oil for 30 minutes orovernight. Rinse your hair thoroughly with atulya Keratin & Wheat
Protein Hair Shampoo","https://myatulya.com/cdn/shop/files/Artboard1copy6.jpg?v=1701857707&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_64f80ad0-cc5e-40bb-996d-c4eb4ba83f8e.jpg?v=1701857707&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_ae4ca1c6-b105-4f7e-8df8-46361538d3b4.jpg?v=1701857705&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_ead0abe4-b4d1-4c28-a3a5-2daba29393ed.jpg?v=1701857705&width=1080"
33192425,"Atulya neem & sage hair oil - silicones, parabens, mineral oil free (100% natural)",Atulya,599,HAIR CARE,HAIR OIL,"1,341","This item: atulya neem & sage hair oil - silicones, parabens, mineral oil free (100% natural)
Sale price: 389
Atulya hibiscus & black seed hair oil - 200ml
Sale price: 329
Atulya neem & sage hair mask - sulphate & parabens free(100% natural)
Sale price: 324
Atulya plum hair conditioner - 300ml
Sale price: 299
","Atulya neem & sage hair oil offers an effective remedy for damaged hair. the anti-bacterial properties of neem make hair incredibly smoother.
why it's good to use:

neem has regenerative properties that tend to decrease hair loss. it improves the scalp's blood circulation and helps to boost hair growth.
in solving thinning problems, this oil is also useful as it accelerates hair growth and strengthens hair from the roots.
not only does neem & sage hair oil boost scalp health, but it also preserves the scalp's ph level. helps with rough & frizzy hair conditioning.","Neem /
  Sage
1- Take some oil into your palm
2- Apply to your scalp & hair. Gently massage the oil and let it absorb completely
4- Leave the oil for 30 minutes orovernight. Rinse your hair thoroughly with atulya Neem & Sage Hair
Shampoo","https://myatulya.com/cdn/shop/files/Artboard1copy8.jpg?v=1701860122&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_a73e774a-6188-4e9e-aded-622e4653a2aa.jpg?v=1701860121&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_73f8ac00-5477-4f4e-a675-9577fbc39663.jpg?v=1701860122&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_e528cb16-295f-4c2d-b110-9f49ca3de291.jpg?v=1701860121&width=1080"
