Title,Cost,Description,Photos,Brand,Category,Id
Strawberry White Heart Kit, 630.00,"150ml Bath & Shower Gel, created by blending the finest Strawberry Extracts. Experience a true, invigorating luxury that stays with you, all throughout the day.

140ml Moisturizing hand and body lotion that will alleviate the effects of unkind weather and bring out a bright and sparkling you.

100gm Face & Body polish that natural exfoliating bead are smooth and gives balanced exfoliation without being harsh to the skin.

Also includes a Luxury Loofah. This soft & fluffy loofah gently exfoliates dirt and dead cells & is the perfect ally for your daily grooming regimen.

We love animals and so we Do Not Test our products on Animals.","https://bryanandcandy.com/cdn/shop/files/Strawberry-Heart-Kit_1024x.jpg?v=1704192863
https://bryanandcandy.com/cdn/shop/files/Strawberry-Heart-Kit-2_1024x.jpg?v=1704192876
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC03843_1024x.jpg?v=1704192863
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC03805_1024x.jpg?v=1704192863
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC05834_1024x.jpg?v=1704192863",Bryan & Candy,Gifting,14870279946325
Cocoa shea White Heart Kit, 630.00,"150ml Bath & Shower Gel created by blending the finest Cocoa Shea Extracts. Experience a true, invigorating luxury that stays with you, all throughout the day.
140ml Moisturizing hand and body lotion that will alleviate the effects of unkind weather and bring out a bright and sparkling you.
100gm Face & Body polish that natural exfoliating bead are smooth and gives balanced exfoliation without being harsh to the skin.
Also includes a Luxury Loofah. This soft & fluffy loofah gently exfoliates dirt and dead cells & is the perfect ally for your daily grooming regimen.
Paraben Free, Cruelty free. Suitable for all skin types.","https://bryanandcandy.com/cdn/shop/products/Copyof20220307-DSC02504_1024x.jpg?v=1652160949
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04045_1024x.jpg?v=1653204882
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04638_1024x.jpg?v=1653204882
https://bryanandcandy.com/cdn/shop/products/CopyofDSC00312_1024x.jpg?v=1653204882
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC04610_1024x.jpg?v=1653204620",Bryan & Candy,Gifting,14870279946325
Basil & Lime Heart Kit, 630.00,"150ml Luxury Bath & Shower Gel , created by blending the finest Basil And Lime Extracts. Experience a true, invigorating luxury that stays with you, all throughout the day.
140ml Moisturizing hand and body lotion that will alleviate the effects of unkind weather and bring out a bright and sparkling you.
100gm Face & Body polish that natural exfoliating bead are smooth and gives balanced exfoliation without being harsh to the skin.
Also includes a Luxury Loofah. This soft & fluffy loofah gently exfoliates dirt and dead cells & is the perfect ally for your daily grooming regime.
Paraben Free, Cruelty free. Suitable for all skin types.","https://bryanandcandy.com/cdn/shop/products/basil_lime_heart_Kit_1_1024x.jpg?v=1654773974
https://bryanandcandy.com/cdn/shop/products/basil_lime_heart_Kit_2_1024x.jpg?v=1654773974
https://bryanandcandy.com/cdn/shop/products/basil_lime_heart_Kit_3_1024x.jpg?v=1654773975
https://bryanandcandy.com/cdn/shop/products/basil_lime_heart_Kit_4_1024x.jpg?v=1654773974
https://bryanandcandy.com/cdn/shop/products/basil_lime_heart_Kit_5_1024x.jpg?v=1654773974
https://bryanandcandy.com/cdn/shop/products/basil_lime_heart_Kit_6_1024x.jpg?v=1654773975",Bryan & Candy,Gifting,14870279946325
Pink Heart Kit, 980.00,"300ml Luxury Body Wash, created by blending the finest sandalwood and wild figs. Experience a true, invigorating luxury that stays with you, all throughout the day.
125ml Indulgent Moisturizing Hand & Body Lotion that will alleviate the effects of unkind weather and bring out a bright and sparkling you.
300ml Refreshing Shower Gel, an emulsion of water and mild cleanser with added fragrance to pamper you. Empower your body and skin with the finest shower essentials, every morning
150g Ultra Moisturizing Soap with the goodness of Shea butter, Aloe Vera, Almond oil, Olive oil and Glycerin nourishes your skin to become ultra-soft, smooth & silky
Also includes a Luxury Loofah. This soft & fluffy loofah gently exfoliates dirt and dead cells & is the perfect ally for your daily grooming regimen.","https://bryanandcandy.com/cdn/shop/products/BRYAN00000048_1_1024x.jpg?v=1649686110
https://bryanandcandy.com/cdn/shop/products/BRYAN00000048_2_1024x.jpg?v=1649686111
https://bryanandcandy.com/cdn/shop/products/BRYAN00000048_3_1024x.jpg?v=1649686111
https://bryanandcandy.com/cdn/shop/products/BRYAN00000048_4_1024x.jpg?v=1649686111
https://bryanandcandy.com/cdn/shop/products/BRYAN00000048_5_1024x.jpg?v=1649686110
https://bryanandcandy.com/cdn/shop/products/BRYAN00000048_6_1024x.jpg?v=1649686111",Bryan & Candy,Gifting,14870279946325
Romancing the Rose Gift Set For Women, 840.00,"Complete Bodycare kit with bath and shower gel, face wash, scrub, lotion, and rose body mist.
Perfect for relaxing, self-care, and gifting, providing gentle yet effective cleansing and hydration.
Nourishing lotion deeply hydrates and soothes skin, leaving it soft and supple.
Beautifully packaged, making it a great gift for loved ones who love to pamper themselves.
Soothing rose fragrance offers a calming and invigorating experience for your senses.
Suitable for all skin types, including sensitive skin.
Free from harmful chemicals, parabens, and sulfates.
Made with high-quality ingredients for a luxurious experience.
Experience the ultimate spa-like pampering right in the comfort of your own home.","https://bryanandcandy.com/cdn/shop/products/3-Romancing_the_Rose-copy_1024x.jpg?v=1681811005
https://bryanandcandy.com/cdn/shop/products/2-Romancing_the_Rose-copy_1024x.jpg?v=1681811001
https://bryanandcandy.com/cdn/shop/products/4-Romancing_the_Rose-copy_1024x.jpg?v=1681732070
https://bryanandcandy.com/cdn/shop/products/5-Romancing_the_Rose-copy_1024x.jpg?v=1681732070
https://bryanandcandy.com/cdn/shop/products/6-Romancing_the_Rose-copy_1024x.jpg?v=1681732071",Bryan & Candy,Gifting,14870279946325
FACE & BODY CARE KIT (PACK OF 5) - FACE WASH/ FACE SCRUB /FACE MASK / COFFEE SUGAR BODY SCRUB / CHOCO BODY BUTTER," 1,627.00","PREMIUM COFFEE BODY CARE GIFTING: Infused with Pure Coffee, Ceramides, Hyaluronic acid, Macadamia oil, Argan oil and Oatmeal powder, this Coffee Face & Body care kit comes with Coffee Face Wash, Coffee Face Scrub, Coffee Face Mask and a Super gentle Duo for Dead skin exfoliation with Coffee Sugar Body Scrub & Choco Body Butter.


COFFEE FACE CARE: The Coffee Face Wash, Coffee Face scrub & Coffee Face masks are enriched with Pure Coffee, Ceramides & Hyaluronic Acid. Coffee reduces redness, inflammation and puffiness, Ceramides promote collagen production & Hyaluronic acid gives intense moisturization.


COFFEE BODY CARE: Coffee Sugar Body scrubs exfoliate gently compared to any other Dry scrubs or salt scrubs. This Skin friendly pH 5.5 formula is loaded with Macadamia & Argan Oils which assists in cell regeneration, prevents chapping, nourishes skin while exfoliating. Choco Body Butter is enriched Ceramides and hyaluronic acid makes the skin smooth and deeply nourished. Cocoa and Shea butter gives intense moisturization and improves complexion. Its soft, non-oily and absorbs very quickly into the skin. You will love the aroma of this Choco Body Butter



NOTHING HARSH & ABRASIVE: Sugar is a natural humectant which protects the skin while exfoliation unlike the dry coffee scrubs. Sugar gets dissolved while scrubbing and makes a thin layer of protective barrier to retain skin’s moisture.



GOOD FOR YOU, GOOD FOR THE ENVIRONMENT: Bryan & Candy is the First Bath & Body Care brand focussed on making products with a Skin friendly pH 5.5 and suitable for all skin types which elevates your personal care regimen. We are a 100% Vegan friendly, Sulphate & Paraben free, use 100% Recyclable packaging, Clean and Cruelty-free brand.","https://bryanandcandy.com/cdn/shop/products/01_Pack_of_5_Coffee_1024x.jpg?v=1669897082
https://bryanandcandy.com/cdn/shop/products/03_Pack_of_5_Coffee_51bc2f41-fc9e-49aa-b7d4-cb91823a76b2_1024x.jpg?v=1669897090
https://bryanandcandy.com/cdn/shop/products/02_Pack_of_5_Coffee_1024x.jpg?v=1669897090
https://bryanandcandy.com/cdn/shop/products/04_Pack_of_5_Coffee_1024x.jpg?v=1669897083
https://bryanandcandy.com/cdn/shop/products/05_Packof_2_Coffee_e5dc53a3-0908-41d3-8922-34c4a32533cb_1024x.jpg?v=1669897086
https://bryanandcandy.com/cdn/shop/products/06_Packof_2_Coffee_1024x.jpg?v=1669897086",Bryan & Candy,Gifting,14870279946325
Premium Coffee Face & Body Care Kit | Nourishing & Vegan," 1,067.00","PREMIUM COFFEE BODY CARE GIFTING: Infused with Pure Coffee, Ceramides, Hyaluronic acid, Macadamia oil, Argan oil and Oatmeal powder, this Coffee Face & Body care kit comes with Coffee Face Wash, Coffee Face Scrub, Coffee Face Mask and a Super gentle Duo for Dead skin exfoliation with Ultra Moisturizing Bar.


COFFEE FACE CARE: The Coffee Face Wash, Coffee Face scrub & Coffee Face masks are enriched with Pure Coffee, Ceramides & Hyaluronic Acid. Coffee reduces redness, inflammation and puffiness, Ceramides promote collagen production & Hyaluronic acid gives intense moisturization.




NOTHING HARSH & ABRASIVE: Sugar is a natural humectant which protects the skin while exfoliation unlike the dry coffee scrubs. Sugar gets dissolved while scrubbing and makes a thin layer of protective barrier to retain skin’s moisture.



COFFEE ULTRA MOISTURIZING BAR PH5.5 : Coffee Improves blood circulation, promotes cell regeneration. Decreases stubborn dark circles, puffiness, sunspots & fine lines. Reduces acne and calms the skin for a glowing look. Cocoa & Shea Butter Maximizes hydration, repairs skin, Improves complexion & boosts glow




GOOD FOR YOU, GOOD FOR THE ENVIRONMENT: Bryan & Candy is the First Bath & Body Care brand focussed on making products with a Skin friendly pH 5.5 and suitable for all skin types which elevates your personal care regimen. We are a 100% Vegan friendly, Sulphate & Paraben free, use 100% Recyclable packaging, Clean and Cruelty-free brand.","https://bryanandcandy.com/cdn/shop/products/04_Pack_of_4_Coffee_1024x.jpg?v=1669896992
https://bryanandcandy.com/cdn/shop/files/Amira-Polishing-kit_1024x.jpg?v=1700738994
https://bryanandcandy.com/cdn/shop/products/02_Pack_of_4_Coffee_f52d1b81-dc22-4177-8b75-af1bb97b3606_1024x.jpg?v=1700738982
https://bryanandcandy.com/cdn/shop/products/01_Pack_of_4_Coffee_ec5ebeea-6c01-47de-98f0-9573ec36f634_1024x.jpg?v=1700738982
https://bryanandcandy.com/cdn/shop/products/05_Pack_of_4_Coffee_1f5a07d1-9c34-4e16-8a2a-0a566b4b988a_1024x.jpg?v=1700738982
https://bryanandcandy.com/cdn/shop/products/06_Pack_of_4_Coffee_5150d03c-d1da-4506-be42-80d719098f9c_1024x.jpg?v=1700738982",Bryan & Candy,Gifting,14870279946325
BODY POLISHING KIT – COFFEE SUGAR BODY SCRUB / CHOCO BODY BUTTER," 1,043.00","EXFOLIATES, REMOVES TAN, MOISTURIZES: Coffee with Sugar in this scrub exfoliates gently compared to any other dry scrubs or salt scrubs. Sugar granules are even, polished and non- abrasive to the skin. It helps to unclog pores and remove textured skin that can lead to those pesky ingrown hairs.

LOADED WITH GOODNESS: This Skin friendly pH 5.5 formula is loaded with Macadamia & Argan Oils which assists in cell regeneration, prevents chapping, nourishes skin while exfoliating. Provides excellent moisturization, soothes sunburn and makes firm & younger looking skin.

NOTHING HARSH & ABRASIVE: Sugar is a natural humectant which protects the skin while exfoliation unlike the dry coffee scrubs. Sugar gets dissolved while scrubbing and makes a thin layer of protective barrier to retain skin’s moisture.

FRUIT AHAs & OATMEAL: Oatmeal extract, glycerin and fruit AHA’s polishes the skin to become smooth and less bumpy. Oatmeal powder is a terrific natural skin cleanser - sloughs away dirt & dead skin cells to reveal brighter complexion. Reduces skin irritation with great emollient properties.

CERAMIDES & HYALURONIC ACID: Choco Body Butter is enriched Ceramides and hyaluronic acid makes the skin smooth and deeply nourished. Cocoa and Shea butter gives intense moisturization and improves complexion. Its soft, non-oily and absorbs very quickly into the skin. You will love the aroma of this Choco Body Butter.

GOOD FOR YOU, GOOD FOR THE ENVIRONMENT: Bryan & Candy is the First Bath & Body Care brand focussed on making products with a Skin friendly pH 5.5 and suitable for all skin types which elevates your personal care regimen. We are a 100% Vegan friendly, Sulphate & Paraben free, use 100% Recyclable packaging, Clean and Cruelty-free brand.

Direction for use for all Sugar body scrubs: Take enough quantity of sugar body scrub and apply gently to the wet body. Use water if required and rub in circular motion for even coverage and effective exfoliation. Use all over your body for 3-4 minutes until the sugar granules become small and get dissolved. Rinse well with warm water, pat dry and follow up with Bryan & Candy body butter for smooth and nourished skin.","https://bryanandcandy.com/cdn/shop/products/05_Packof_2_Coffee_1024x.jpg?v=1669896752
https://bryanandcandy.com/cdn/shop/products/03_Pack_of_2_Coffee_1024x.jpg?v=1669896752
https://bryanandcandy.com/cdn/shop/products/02_Pack_of_2_Coffee_1024x.jpg?v=1669896752
https://bryanandcandy.com/cdn/shop/products/04_Pack_of_2_Coffee_e7395e0f-118d-4902-836e-f67f047554e3_1024x.jpg?v=1669896752
https://bryanandcandy.com/cdn/shop/products/01_Pack_of_2_Coffee_bdb53bf9-9f97-4807-8277-67a7aecec0ea_1024x.jpg?v=1669896752",Bryan & Candy,Gifting,14870279946325
BODY POLISHING KIT – DELICATE ROSE SUGAR BODY SCRUB / BODY BUTTER," 1,015.00","EXFOLIATES, REMOVES TAN, MOISTURIZES: Rose oil with Sugar in this scrub exfoliates gently compared to any other dry scrubs or salt scrubs. Sugar granules are even, polished and non- abrasive to the skin. It helps to unclog pores and remove textured skin that can lead to those pesky ingrown hairs.

LOADED WITH GOODNESS: This Skin friendly pH 5.5 formula is loaded with Macadamia & Argan Oils which assists in cell regeneration, prevents chapping, nourishes skin while exfoliating. Provides excellent moisturization, soothes sunburn and makes firm & younger looking skin.

NOTHING HARSH & ABRASIVE: Sugar is a natural humectant which protects the skin while exfoliation unlike the dry scrubs. Sugar gets dissolved while scrubbing and makes a thin layer of protective barrier to retain skin’s moisture.

FRUIT AHAs & OATMEAL: Oatmeal extract, glycerin and fruit AHA’s polishes the skin to become smooth and less bumpy. Oatmeal powder is a terrific natural skin cleanser - sloughs away dirt dead skin cells to reveal brighter complexion. Reduces skin irritation with great emollient properties.

CERAMIDES & HYALURONIC ACID: Delicate Rose Body Butter is enriched Ceramides and hyaluronic acid makes the skin smooth and deeply nourished. Shea butter gives intense moisturization and improves complexion. Its soft, non-oily and absorbs very quickly into the skin. Rose Oil promotes even skin tone and brightens the complexion. It also helps reduce blemishes and dark spots. Rose water is a very good astringent. It not only leaves your skin feeling rejuvenated but also smelling lovely.

GOOD FOR YOU, GOOD FOR THE ENVIRONMENT: Bryan & Candy is the first Bath Body care brand focussed on making products with a Skin friendly pH 5.5 and suitable for all skin types which elevates your personal care regimen. We are a 100% Vegan friendly, Sulphate & Paraben free, use 100% Recyclable packaging, Clean and Cruelty-free brand.

Direction for use for all Sugar body scrubs: Take enough quantity of sugar body scrub and apply gently to the wet body. Use water if required and rub in circular motion for even coverage and effective exfoliation. Use all over your body for 3-4 minutes until the sugar granules become small and get dissolved. Rinse well with warm water, pat dry and follow up with Bryan & Candy body butter for smooth and nourished skin.","https://bryanandcandy.com/cdn/shop/products/05_Pack_of_2_delicateRose_1024x.jpg?v=1669897203
https://bryanandcandy.com/cdn/shop/products/03_Pack_of_2_delicateRose_1024x.jpg?v=1669897203
https://bryanandcandy.com/cdn/shop/products/02_Pack_of_2_delicateRose_1024x.jpg?v=1669897203
https://bryanandcandy.com/cdn/shop/products/04_Pack_of_2_delicateRose_1024x.jpg?v=1669897203
https://bryanandcandy.com/cdn/shop/products/01_Pack_of_2_delicateRose_39509d7b-a107-494f-9b9a-42aef99d40eb_1024x.jpg?v=1669897203",Bryan & Candy,Gifting,14870279946325
BODY POLISHING KIT – LAVENDER & VANILLA SUGAR BODY SCRUB / BODY BUTTER," 1,015.00","EXFOLIATES, REMOVES TAN, MOISTURIZES: Lavender oil & vanilla extracts with Sugar in this scrub exfoliates gently compared to any other dry scrubs or salt scrubs. Sugar granules are even, polished and non-abrasive to the skin. It helps to unclog pores and remove textured skin that can lead to those pesky ingrown hairs.

LOADED WITH GOODNESS: This Skin friendly pH 5.5 formula is loaded with Macadamia & Argan Oils which assists in cell regeneration, prevents chapping, nourishes skin while exfoliating. Provides excellent moisturization, soothes sunburn and makes firm & younger looking skin.

NOTHING HARSH & ABRASIVE: Sugar is a natural humectant which protects the skin while exfoliation unlike the dry coffee scrubs. Sugar gets dissolved while scrubbing and makes a thin layer of protective barrier to retain skin’s moisture.

FRUIT AHAs & OATMEAL: Oatmeal extract, glycerin and fruit AHA’s polishes the skin to become smooth and less bumpy. Oatmeal powder is a terrific natural skin cleanser - sloughs away dirt & dead skin cells to reveal brighter complexion. Reduces skin irritation with great emollient properties.

CERAMIDES & HYALURONIC ACID: Lavender & Vanilla Body Butter is enriched Ceramides and hyaluronic acid makes the skin smooth and deeply nourished. Shea butter gives intense moisturization and improves complexion. Its soft, non-oily and absorbs very quickly into the skin. Vanilla is rich in antioxidants that reverses skin damage. It not only leaves your skin feeling rejuvenated but also smelling lovely.

GOOD FOR YOU, GOOD FOR THE ENVIRONMENT: Bryan & Candy is the first Bath &  Body care brand focussed on making products with a Skin friendly pH 5.5 and suitable for all skin types which elevates your personal care regimen. We are a 100% Vegan friendly, Sulphate & Paraben free, use 100% Recyclable packaging, Clean and Cruelty-free brand.

Direction for use for all Sugar body scrubs: Take enough quantity of sugar body scrub and apply gently to the wet body. Use water if required and rub in circular motion for even coverage and effective exfoliation. Use all over your body for 3-4 minutes until the sugar granules become small and get dissolved. Rinse well with warm water, pat dry and follow up with Bryan & Candy body butter for smooth and nourished skin.","https://bryanandcandy.com/cdn/shop/products/05_Pack_of_2_Lavender_1024x.jpg?v=1669896618
https://bryanandcandy.com/cdn/shop/products/03_Pack_of_2_Lavender_a4b52633-1bb0-408a-933c-b2fd1e92ab14_1024x.jpg?v=1669896618
https://bryanandcandy.com/cdn/shop/products/02_Pack_of_2_Lavender_1024x.jpg?v=1669896618
https://bryanandcandy.com/cdn/shop/products/04_Pack_of_2_Lavender_86da346b-76e6-407e-8ad3-2cf5c1370041_1024x.jpg?v=1669896618
https://bryanandcandy.com/cdn/shop/products/01_Pack_of_2_Lavender_3518f344-ffbb-4295-aafb-20b4869db755_1024x.jpg?v=1669896618",Bryan & Candy,Gifting,14870279946325
"Delicate Rose Kit ,Face Wash, Bath And Shower Gel, Hand And Body Lotion (Pack of 3)", 805.00,"125 ml Delicate Rose Face Wash will flawlessly reduce the effects of weather and bring in you a radiant and sparkling look.
300 ml Delicate Rose Bath & Shower Gel. Invigorate your body and skin with the best shower essentials every morning.
125 ml Delicate Rose  Hand & Body Lotion that deeply moisturizes, is wonderfully gentle and smoothes dry cracked skin.
Suitable for All Skin Types
Paraben Free, SLS Free, Cruelty Free, We love animals and therefore we do not test our products on animals.","https://bryanandcandy.com/cdn/shop/products/Copyof20220306-DSC02472_1024x.jpg?v=1652854295
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04726-1_1024x.jpg?v=1652854553
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04761-2_1_1024x.jpg?v=1653045751
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04692-1_1024x.jpg?v=1653045790
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04763-3_f80ea8a2-bec2-4b55-bce4-94787b56fa00_1024x.jpg?v=1653045829",Bryan & Candy,Gifting,14870279946325
Shower of Delight (Pack of 4), 560.00,"CLEAN MOISTURIZED SKIN: Bath & Shower Gels of 150ml each with Four different fragrances that will make you smell like a dream.
ENERGIZES YOUR SENSES: Get up, detoxify and conquer the world with Bryan & Candy’s Luxury Shower Essentials. This shower gel will not only clean, soften your skin but will also uplift your mood. The lingering perfume will stay with you the whole day.
ESSENTIAL OILS: All products are enriched with natural ingredients and Bryan & Candy’s signature collection of Four most popular fragrances for women.
A delightful gift for someone who deserves to be pampered with luxuries.
DERMATOLOGICALLY TESTED: Free of Paraben and Cruelty Free.
CRUELTY FREE- We love animals and so we Do Not Test our products on Animals.","https://bryanandcandy.com/cdn/shop/products/01_ShowerGel_packof4_website_1024x.jpg?v=1674629735
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04192_1024x.jpg?v=1674629735
https://bryanandcandy.com/cdn/shop/products/4edit01_1024x.jpg?v=1674629735
https://bryanandcandy.com/cdn/shop/products/4edit02_1024x.jpg?v=1674629735
https://bryanandcandy.com/cdn/shop/products/BRYAN00000045_2_1024x.jpg?v=1674629735
https://bryanandcandy.com/cdn/shop/products/BRYAN00000045_3_1024x.jpg?v=1674629735
https://bryanandcandy.com/cdn/shop/products/BRYAN00000045_7_1024x.jpg?v=1674629735
https://bryanandcandy.com/cdn/shop/products/BRYAN00000045_4_1_1024x.jpg?v=1674629735
https://bryanandcandy.com/cdn/shop/products/BRYAN00000045_5_1024x.jpg?v=1674629735",Bryan & Candy,Gifting,14870279946325
Shower Gel Kit for Her ( Pack of 3), 315.00,"Bath & Shower Gels of 100ml each with three different fragrances that will make you smell like a dream.
Get up, detoxify and conquer the world with Bryan & Candy’s Luxury Shower Essentials.
All products are enriched with natural ingredients and Bryan & Candy’s signature collection of three most popular fragrances for women.
A delightful gift for someone who deserves to be pampered with luxuries.
We do not test our products on Animals.","https://bryanandcandy.com/cdn/shop/products/CopyofDSC04213_1024x.jpg?v=1652855567
https://bryanandcandy.com/cdn/shop/products/BRYAN00000080_1_1024x.jpg?v=1652700226
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04452_1024x.jpg?v=1653046035
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04222_1024x.jpg?v=1653046058
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04261_1024x.jpg?v=1653046080",Bryan & Candy,Gifting,14870279946325
Fab Five Body Mist Spray (Pack of 5)," 1,225.00","Brand


BRYAN & CANDY




Scent


Wild Salsa, Nottie Berries, Urban scandal, Naked Sunshine, Tropical Fling




Ingredients


Ethyl Alcohol (Extra Neutral Alcohol) (95% v/v), Perfume, Diethyl Phthalate, PEG – 40 (Hydrogenated Castor Oil), C.I 42090, C.I19140, Aqua. Alcohol Content: 65%v/vEthyl Alcohol (Extra Neutral Alcohol) (95% v/v), Perfume, Diethyl Phthalate, PEG – 40 (Hydrogenated Castor Oil), C.I 42090, C.I19140, Aqua. Alcohol Content: 65%v/v




Item Form


Spray




Item Weight


0.75 Kilograms







Quantity: 115 ML ( Pack of 5) , Item Form: Spray
Body Mist with long aroma for whole day long. Safe to be sprayed directly on skin for long lasting freshness
Convenient travel friendly pack. Helps you to have aromatherapy on the go any time anywhere
Wrap yourself in the luxury of this irresistible scent and reveal your natural romantic self
Usage: Give it a good hard shake first to make sure all the ingredients are mixed together before you spray it. You should hold the can approximately 15cm from your body or clothes as you spray it.","https://bryanandcandy.com/cdn/shop/products/01_MistPackof_5_1024x.jpg?v=1674643666
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04126_1024x.jpg?v=1674643666
https://bryanandcandy.com/cdn/shop/products/CopyofDSC07022_1080_1024x.jpg?v=1674643666
https://bryanandcandy.com/cdn/shop/products/81Vvtq1oAGL._SL1500_1024x.jpg?v=1674643663
https://bryanandcandy.com/cdn/shop/products/71TMYP16R8L._SL1500_1024x.jpg?v=1674643663
https://bryanandcandy.com/cdn/shop/products/71skYot_XML._SL1500_1024x.jpg?v=1674643663
https://bryanandcandy.com/cdn/shop/products/71NptblIj1L._SL1500_1024x.jpg?v=1674643663
https://bryanandcandy.com/cdn/shop/products/81Q40GWpn5L._SL1500_1024x.jpg?v=1674643663",Bryan & Candy,Gifting,14870279946325
Trendy Trio Body Mist Spray (Pack of 3), 735.00,"Brand


BRYAN & CANDY




Scent


Urban Desire, My Escapade, Floral Splash




Item Form


Spray




Item Weight


0.5 Kilograms




Item Volume


3*115 Millilitres







Quantity: 115 ML ( Pack of 3) , Item Form: Spray
Body Mist with long aroma for whole day long. Safe to be sprayed directly on skin for long lasting freshness
Convenient travel friendly pack. Helps you to have aromatherapy on the go any time anywhere
Wrap yourself in the luxury of this irresistible scent and reveal your natural romantic self
Usage: Give it a good hard shake first to make sure all the ingredients are mixed together before you spray it. You should hold the can approximately 15cm from your body or clothes as you spray it.","https://bryanandcandy.com/cdn/shop/products/CopyofDSC06809_1024x.jpg?v=1672050938
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04071_1024x.jpg?v=1674630072
https://bryanandcandy.com/cdn/shop/products/CopyofDSC06343_daeecc97-5f63-416f-816b-ac15e0eb5d1f_1024x.jpg?v=1674630072
https://bryanandcandy.com/cdn/shop/products/CopyofDSC06910_1024x.jpg?v=1672050938
https://bryanandcandy.com/cdn/shop/products/71FTRse8UmL._SL1500_1024x.jpg?v=1672050938
https://bryanandcandy.com/cdn/shop/products/716ckwSRS_L._SL1500_1024x.jpg?v=1672050938
https://bryanandcandy.com/cdn/shop/products/71HjsPNEunL._SL1500_1024x.jpg?v=1672050938",Bryan & Candy,Gifting,14870279946325
Terrific Trio BODY MIST SPRAY (PACK OF 3), 735.00,"Brand


BRYAN & CANDY




Scent


Wild Salsa, Urban Scandal, Nottie Berries




Item Form


Spray




Item Weight


0.5 Kilograms




Item Volume


3*115 Millilitres







Quantity: 115 ML ( Pack of 3) , Item Form: Spray
Body Mist with long aroma for whole day long. Safe to be sprayed directly on skin for long lasting freshness
Convenient travel friendly pack. Helps you to have aromatherapy on the go any time anywhere
Wrap yourself in the luxury of this irresistible scent and reveal your natural romantic self
Usage: Give it a good hard shake first to make sure all the ingredients are mixed together before you spray it. You should hold the can approximately 15cm from your body or clothes as you spray it.","https://bryanandcandy.com/cdn/shop/products/Terrific_Trio_1_1024x.jpg?v=1672123009
https://bryanandcandy.com/cdn/shop/products/Terrific_Trio_6_1024x.jpg?v=1674630066
https://bryanandcandy.com/cdn/shop/products/Terrific_Trio_2_1024x.jpg?v=1674630066
https://bryanandcandy.com/cdn/shop/products/Terrific_Trio_3_b8c72973-694a-4275-815d-caf4869b28c3_1024x.jpg?v=1674630066
https://bryanandcandy.com/cdn/shop/products/Terrific_Trio_4_1024x.jpg?v=1674630066
https://bryanandcandy.com/cdn/shop/products/Terrific_Trio_5_1024x.jpg?v=1674630066
https://bryanandcandy.com/cdn/shop/products/Terrific_Trio_7_1024x.jpg?v=1672130653
https://bryanandcandy.com/cdn/shop/files/Terrific-Trio-BODY-MIST-SPRAY-_PACK-OF-3_-Bryan-_-Candy-34373231_1024x.jpg?v=1697223016",Bryan & Candy,Gifting,14870279946325
Tempting Trio Body Mist Spray (PACK OF 3), 735.00,"Brand


BRYAN & CANDY




Scent


Tropical Fling, Delicate Rose, Naked Sunshine




Item Form


Spray




Item Weight


0.5 Kilograms




Item Volume


3*115 Milliliters







Quantity: 115 ML ( Pack of 3) , Item Form: Spray
Body Mist with long aroma for whole day long. Safe to be sprayed directly on skin for long lasting freshness
Convenient travel friendly pack. Helps you to have aromatherapy on the go any time anywhere
Wrap yourself in the luxury of this irresistible scent and reveal your natural romantic self
Usage: Give it a good hard shake first to make sure all the ingredients are mixed together before you spray it. You should hold the can approximately 15cm from your body or clothes as you spray it.","https://bryanandcandy.com/cdn/shop/products/Tempting_Trio_1_1024x.jpg?v=1672140983
https://bryanandcandy.com/cdn/shop/products/Tempting_Trio_6_1024x.jpg?v=1674630080
https://bryanandcandy.com/cdn/shop/products/Tempting_Trio_2_1024x.jpg?v=1674630080
https://bryanandcandy.com/cdn/shop/products/Tempting_Trio_3_1024x.jpg?v=1674630080
https://bryanandcandy.com/cdn/shop/products/Tempting_Trio_4_1024x.jpg?v=1674630080
https://bryanandcandy.com/cdn/shop/products/Tempting_Trio_7_1024x.jpg?v=1672140983
https://bryanandcandy.com/cdn/shop/products/Tempting_Trio_8_1024x.jpg?v=1672140982",Bryan & Candy,Gifting,14870279946325
