identifier,title,price,description,category,image_urls,variation_titles,name_variations,variations_price,id
2160c1ba95dd1ede308c397018985920a1ad99e6dcf86060ddabba7b3daefa68,Resin Kangling,1573.25," Kangling translated as ""leg"" (kang) ""flute"" (ling), is the Tibetan name for a trumpet or horn made
out of a human tibia or femur, used in Tibetan Buddhism for various chöd rituals as well as funerals
performed by a chöpa. Size chart (Length) Small 8.65"" Medium 11.4"" Large 13.38"" *approximately",Kangling,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03976-01-01-01_1024x1024.jpg?v=1613233876, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03977-1-01_1024x1024.jpg?v=1613233876, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03978-01_1024x1024.jpg?v=1613233876",Size,Small   ,1573.25,37828861853853
2160c1ba95dd1ede308c397018985920a1ad99e6dcf86060ddabba7b3daefa68,Resin Kangling,2098.25," Kangling translated as ""leg"" (kang) ""flute"" (ling), is the Tibetan name for a trumpet or horn made
out of a human tibia or femur, used in Tibetan Buddhism for various chöd rituals as well as funerals
performed by a chöpa. Size chart (Length) Small 8.65"" Medium 11.4"" Large 13.38"" *approximately",Kangling,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03976-01-01-01_1024x1024.jpg?v=1613233876, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03977-1-01_1024x1024.jpg?v=1613233876, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03978-01_1024x1024.jpg?v=1613233876",,Medium   ,2098.25,37828861886621
2160c1ba95dd1ede308c397018985920a1ad99e6dcf86060ddabba7b3daefa68,Resin Kangling,2623.25," Kangling translated as ""leg"" (kang) ""flute"" (ling), is the Tibetan name for a trumpet or horn made
out of a human tibia or femur, used in Tibetan Buddhism for various chöd rituals as well as funerals
performed by a chöpa. Size chart (Length) Small 8.65"" Medium 11.4"" Large 13.38"" *approximately",Kangling,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03976-01-01-01_1024x1024.jpg?v=1613233876, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03977-1-01_1024x1024.jpg?v=1613233876, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03978-01_1024x1024.jpg?v=1613233876",,Large   ,2623.25,37828861919389
4e9d81d96adc1b618cd730e7ad1e41ba00d5453b55a0eeb640c88145dc386214,Copper Kangling,," Kangling translated as ""leg"" (kang) ""flute"" (ling), is the Tibetan name for a trumpet or horn made
out of a human tibia or femur, used in Tibetan Buddhism for various chöd rituals as well as funerals
performed by a chöpa. Length ~ 16"" (approximately)",Kangling,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20201216-WA0023-01_1024x1024.jpg?v=1608173978, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20201216-WA0022-01_1024x1024.jpg?v=1608173978",,Default Title  Sold Out,,37380575887517
f4343f096e2b84dca40c800a0e2c9d1174c30a9e878a7b8edd219fe7e5f614ac,Kangling cover (1 pair),1748.25," Length ~ 16"" (approximately)",Kangling,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20211106-WA0019-01_1024x1024.jpg?v=1636187710, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20211106-WA0021-removebg-preview_1024x1024.png?v=1636187710",,Default Title   ,1748.25,42014298177782
