identifier,title,price,description,category,image_urls,variation_titles,name_variations,variations_price,id
a17b4d150618096de4da03e82c9793b42b807321f695b17b046971dfc2ca98e3,Tibetan Cotton Horizontal Prayer Flags,Set of 10 flags -  173.25," Size chart (per flag) ~ 12"" x 10"" *approximately Note: The first image is for illustration purposes
only",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/CottonPrayerFlags_1024x1024.jpg?v=1647095281, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Horizontal_Prayer_Flags_-_Cotton_Satan_-_Small_Medium_Big_-_No._of_Flags_5_10_15_25_1024x1024.jpg?v=1647095281",No. of Flags,Set of 10 flags  ,173.25,36239534784669
a17b4d150618096de4da03e82c9793b42b807321f695b17b046971dfc2ca98e3,Tibetan Cotton Horizontal Prayer Flags,Set of 25 flags -  348.25," Size chart (per flag) ~ 12"" x 10"" *approximately Note: The first image is for illustration purposes
only",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/CottonPrayerFlags_1024x1024.jpg?v=1647095281, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Horizontal_Prayer_Flags_-_Cotton_Satan_-_Small_Medium_Big_-_No._of_Flags_5_10_15_25_1024x1024.jpg?v=1647095281",No. of Flags,Set of 25 flags  ,348.25,37435141914781
a54c0ff27a488c665cc6ab23b5d1c5de5fa3dc99dc5e7494f6dd981329b1fe52,Gyalgen,Rotto -  120.75," Length x Breadth ~ 17"" x 11"" (approximately)",Prayer Flags,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Gyalgen-Rotto_Polyester_Satan_1024x1024.jpg?v=1647095958,Material,Rotto  ,120.75,36392455012509
d66e523dfbd12ac1dd4f459b3bc06982f75a38da969da08c04c5ce2590343e33,Tibetan Vertical Prayer Flags (for Bamboo),Lungda / Red / Cotton -  225.75," Mantra can be selected from dropdown. Prices mentioned are for a single flag on a bamboo. Height ~
15 ft Images 2 and 3 are for illustration purposes.",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Tibetan_Vertical_Prayer_Flags_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0012_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0004_1024x1024.jpg?v=1675496360",Mantra,Lungda  Red  Cotton  ,225.75,37816755585181
d66e523dfbd12ac1dd4f459b3bc06982f75a38da969da08c04c5ce2590343e33,Tibetan Vertical Prayer Flags (for Bamboo),Lungda / Red / Satin -  610.75," Mantra can be selected from dropdown. Prices mentioned are for a single flag on a bamboo. Height ~
15 ft Images 2 and 3 are for illustration purposes.",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Tibetan_Vertical_Prayer_Flags_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0012_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0004_1024x1024.jpg?v=1675496360",Color,Lungda  Red  Satin  ,610.75,37816755617949
d66e523dfbd12ac1dd4f459b3bc06982f75a38da969da08c04c5ce2590343e33,Tibetan Vertical Prayer Flags (for Bamboo),Lungda / Green / Cotton -  225.75," Mantra can be selected from dropdown. Prices mentioned are for a single flag on a bamboo. Height ~
15 ft Images 2 and 3 are for illustration purposes.",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Tibetan_Vertical_Prayer_Flags_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0012_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0004_1024x1024.jpg?v=1675496360",Material,Lungda  Green  Cotton  ,225.75,37816755650717
d66e523dfbd12ac1dd4f459b3bc06982f75a38da969da08c04c5ce2590343e33,Tibetan Vertical Prayer Flags (for Bamboo),Lungda / Green / Satin -  610.75," Mantra can be selected from dropdown. Prices mentioned are for a single flag on a bamboo. Height ~
15 ft Images 2 and 3 are for illustration purposes.",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Tibetan_Vertical_Prayer_Flags_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0012_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0004_1024x1024.jpg?v=1675496360",Material,Lungda  Green  Satin  ,610.75,37816755683485
d66e523dfbd12ac1dd4f459b3bc06982f75a38da969da08c04c5ce2590343e33,Tibetan Vertical Prayer Flags (for Bamboo),Lungda / Blue / Cotton -  225.75," Mantra can be selected from dropdown. Prices mentioned are for a single flag on a bamboo. Height ~
15 ft Images 2 and 3 are for illustration purposes.",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Tibetan_Vertical_Prayer_Flags_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0012_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0004_1024x1024.jpg?v=1675496360",Material,Lungda  Blue  Cotton  ,225.75,37816755716253
d66e523dfbd12ac1dd4f459b3bc06982f75a38da969da08c04c5ce2590343e33,Tibetan Vertical Prayer Flags (for Bamboo),Lungda / Blue / Satin -  610.75," Mantra can be selected from dropdown. Prices mentioned are for a single flag on a bamboo. Height ~
15 ft Images 2 and 3 are for illustration purposes.",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Tibetan_Vertical_Prayer_Flags_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0012_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0004_1024x1024.jpg?v=1675496360",Material,Lungda  Blue  Satin  ,610.75,37816755749021
d66e523dfbd12ac1dd4f459b3bc06982f75a38da969da08c04c5ce2590343e33,Tibetan Vertical Prayer Flags (for Bamboo),Lungda / Yellow / Cotton -  225.75," Mantra can be selected from dropdown. Prices mentioned are for a single flag on a bamboo. Height ~
15 ft Images 2 and 3 are for illustration purposes.",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Tibetan_Vertical_Prayer_Flags_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0012_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0004_1024x1024.jpg?v=1675496360",Material,Lungda  Yellow  Cotton  ,225.75,37816755781789
