Product ID,Brand,Category,Solid By,Product Detail,Title,Price,Sizes,Description,Photo URLs,URL_Product
98825252,Groovee,Shirts,Sold by: ENNOBLE,"Color: MULTICOLOUR
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e5436839e7924b6dc52/img_4062-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e5436839e7924b6dc55/img_4066-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-87
23330051,Groovee,Shirts,Sold by: ENNOBLE,"Color: BLUE
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e5895bf8ec4daf4b12b/img_3804-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e5895bf8ec4daf4b12c/img_3800-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-84
66746277,Groovee,Shirts,N/A,"Color: BLACK
Washcare: MACHINE WASH; WASH DAR COLORS SEPARATELY
Fabric: 100% PREMIUM COTTON WITH BIO WASH – FEELS SOFT & COMFORTABLE
",Trenfort Drink Responsibly Typography Cotton Tshirt for Men - Black,"1,499",S,"This Trenfort Drink Responsibly Typography Cotton Tshirt for Men - Black is perfect for the summer season. It is made of 100% Premium Cotton With Bio Wash, making it soft and comfortable to wear. The black color gives it a classic look, and the typography print gives it a stylish edge.",https://www.groovee.in/s/637b22156d77cd009523f663/65be2b2295bf8ec4daf45640/transparent-t-shirt-mockup-of-a-man-posing-in-front-of-a-graffiti-wall-28200-2-1800x1800.png,https://www.groovee.in/product/trenfort-drink-responsibly-typography-cotton-tshirt-for-men-black
97711091,Groovee,Shirts,Sold by: ENNOBLE,"Color: BLACK
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2f560e01ffd864dcdd98/img_0609-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2f550e01ffd864dcdd88/img_0613-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-d55u2ch
00765339,Groovee,Shirts,Sold by: ENNOBLE,"Color: NAVY
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2f5236839e7924b70c3b/img_0515-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2f5236839e7924b70c3c/img_0519-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-6ebu2ch
00235761,Groovee,Shirts,Sold by: ENNOBLE,"Color: MULTICOLOUR
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2f5a64a2114ef058817c/img_0006-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2f5a64a2114ef0588157/img_0012-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-100
57824169,Groovee,Shirts,Sold by: ENNOBLE,"Color: GREY
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e7964a2114ef05852df/img_3818-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e7864a2114ef05852cd/img_3815-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-61
40140597,Groovee,Shirts,Sold by: ENNOBLE,"Color: MULTICOLOUR
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e5f9a92d978bb6ac260/img_3637-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e5f9a92d978bb6ac25f/img_3632-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-77
49811935,Groovee,Shirts,Sold by: ENNOBLE,"Color: BLACK
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e7036839e7924b6dff2/img_3982-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e7036839e7924b6e003/img_3987-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-65
18455179,Groovee,Shirts,Sold by: ENNOBLE,"Color: YELLOW
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e8131c5e8c4e16c9c96/img_3711-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e8131c5e8c4e16c9ca4/img_3708-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-54
