Product ID,Brand,Category,Solid By,Product Detail,Title,Price,Sizes,Description,Photo URLs,URL_Product
88339319,Groovee,Pants,Sold by: ENNOBLE,Color: NAVY|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2dde8a14cf792536ac67/img_0114-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2dde8a14cf792536ac6d/img_0117-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-6
07365792,Groovee,Pants,Sold by: ENNOBLE,Color: NAVY|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2ed1cc8b354f60be852d/img_0142-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2ed1cc8b354f60be8532/img_0150-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-32
61908174,Groovee,Pants,Sold by: ENNOBLE,Color: NAVY|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2dcb64a2114ef0582684/img_0402-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2dcb64a2114ef058268d/img_0404-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-20
71349842,Groovee,Pants,Sold by: ENNOBLE,Color: KHAKI|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2ec99a92d978bb6ad25b/img_0221-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2ec99a92d978bb6ad25f/img_0227-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-36
64952200,Groovee,Pants,Sold by: ENNOBLE,Color: GREY|Washcare: MACHINE WASH|Fabric: VISCOSE|Occasion: CASUAL WEAR,ENNOBLE MEN FORMAL TROUSER SLIM FIT Viscose Fabric Grey Color (Slim Fit & Ankle Length),"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2eaf215925d865109c8d/img_1555-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2eb1215925d865109dc4/img_1552-1800x1800.jpg",https://www.groovee.in/product/ennoble-men-formal-trouser-slim-fit-viscose-fabric-grey-color-slim-fit-and-ankle-length-
96082298,Groovee,Pants,Sold by: ENNOBLE,Color: BIEGE|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2ec536839e7924b6f04c/img_0313-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2ec436839e7924b6f03c/img_0324-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-41
70041912,Groovee,Pants,Sold by: ENNOBLE,Color: KHAKI|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2dc68a14cf792536aa5e/img_0495-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2dc78a14cf792536aaa1/img_0497-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-24
40905306,Groovee,Pants,Sold by: ENNOBLE,Color: GREY|Washcare: MACHINE WASH|Fabric: VISCOSE|Occasion: CASUAL WEAR,ENNOBLE MEN FORMAL TROUSER SLIM FIT Viscose Fabric  - Grey (Ankle Length),"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2ea2fabaaa78b479eec1/img_0415-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2ea2fabaaa78b479ee87/img_0401-1800x1800.jpg",https://www.groovee.in/product/ennoble-men-formal-trouser-slim-fit-viscose-fabric-grey-ankle-length-
83875856,Groovee,Pants,Sold by: ENNOBLE,Color: BLACK|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2de28713e74ef7354863/img_0046-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2de28713e74ef7354862/img_0050-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-2
75290479,Groovee,Pants,Sold by: ENNOBLE,Color: KHAKI|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2ecce48113d8e4ce4db6/img_0187-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2ecce48113d8e4ce4db5/img_0179-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-34
