Product ID,Brand,Category,Solid By,Title,Price,Sizes,Description,Photo URLs,URL_Product
63434281,Groovee,T-Shirt Anime,Sold by: FANSARMY,FANSARMY Goku Power Mode T-shirt,599,S|M|L|XL|XXL,"Description:-

Style:- Classic, Stylish, and Great regular fit guaranteed – every single time.

Unisex Fit: Perfect fit for both Men and Women.

Fabric:- T-shirt is made of premium quality 100% Pure Cotton with advanced. Bio-washed and Super Fine Combing method. No shrinkage and cotton shagginess after wash.
• Preshrunked • Super Combed Compact Yarn for soft feel • 60-degree Color Fastness 

Design Brief:-  Looking for the perfect Dragon Ball t-shirt to add to your collection? Look no further! Our Goku T-Shirt in black features a vibrant blue print of Goku. the main protagonist of the Dragon Ball series
Made with a soft and comfortable cotton blend, this shirt is perfect for everyday wear. It has a classic fit and is available in a range of sizes to ensure a comfortable fit for all.
Not only is this shirt a must-have for any Dragon Ball fan, but it's also a stylish addition to any outfit. The black background and blue print make for a bold and eye-catching combination
Whether you're a fan of the original Dragon Ball series or the newer Dragon Ball Super, this shirt is a must-have for any fan. So why wait? Add it to your collection today and show off your love for Goku in style!

Wash Care:- Follows International Standards • Don’t Bleach & Wring • Dry in Shade","https://www.groovee.in/s/637b22156d77cd009523f663/65be305095bf8ec4daf4f714/21-672283_l-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be304f95bf8ec4daf4f70d/22-629019_l-1800x1800.jpg",https://www.groovee.in/product/fansarmy-goku-power-mode-t-shirt
12305191,Groovee,T-Shirt Anime,Sold by: FANSARMY,FANSARMY Mikasa X Eren X Levi T-shirt,699,XXL|M|L|XL,"Description
Style
Regular Fit: Fits just right - not too tight, not too loose. 
Unisex Fit: Perfect fit for both Men and Women.
Fabric
100% Cotton Single Jersey and bio-washed.
• Preshrunked • Super Combed Compact Yarn for soft feel • 60-degree Color Fastness Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade
Design Brief
Attack On Titan T-shirt Merchandise. The Perfect T-shirt to Describe your Madness for Attack On Titan Anime Shop Mikasa, Eren Levi and Titan Tshirts.Wash Care:- Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade","https://www.groovee.in/s/637b22156d77cd009523f663/65be30e8e48113d8e4cea88b/aot-tshirt-black-front-212716_l-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be30e9e48113d8e4cea8a2/aot-tshirt-black-fold-794456_l-1800x1800.jpg",https://www.groovee.in/product/fansarmy-mikasa-x-eren-x-levi-t-shirt
02387045,Groovee,T-Shirt Anime,Sold by: OUTLINED,OUTLINED LUFFY NIKA SWEATSHIRT,"1,399",S|M|L|XL|XXL,Unisex Regular Fit Sweatshirts 100% Combed Cotton 300 GSM Bio washed heavyweight fabric Fleece fabric Side-seamed Made in India,"https://www.groovee.in/s/637b22156d77cd009523f663/65be32738a14cf7925377dff/3924c4_d8fb45be7ee449b687cb2527781cde4c-mv2-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be32748a14cf7925377e2d/3924c4_ca6227dd49a04336bd9706e653605740-mv2-1800x1800.png",https://www.groovee.in/product/outlined-luffy-nika-sweatshirt
30345385,Groovee,T-Shirt Anime,Sold by: FANSARMY,FANSARMY Tokyo Revengers Jacket - Embroidery Design,"2,000",S|M|L|XL|XXL,"Description



 Fabric
Richest Indian Cotton.Interior Fleece Fabric is quite gentle & soft on the skin.300 GSM.



Design

This high-quality Tokyo Revengers jacket is the perfect addition to any anime fan's wardrobe. Made from 350 GSM Cotton Fleece and featuring intricate embroidery designs inspired by the show, this jacket showcases your love for the series in style. Available in a variety of sizes to accommodate different body types, this jacket is both comfortable and trendy. The unique embroidery designs are colorful and eye-catching, making this jacket a standout piece. Additional details, such as zippers and pockets enhance the overall aesthetic of the jacket. Plus, with free shipping and cash on delivery options, this jacket is convenient to purchase. Show off your passion for Tokyo Revengers with this stylish and high-quality jacket..


Product Details
Details Carved with 3D Embriodery with golden thread. Brushed interior for superior warmth and comfort..Side pockets for essentials.Ribbed round-neck with comfortable ribbed sleeves.Ideal for all seasons..




Origin
Crafted & Designed in India


Style Tips
Although jackets are versatile enough to pair with almost all kinds of apparel yet wear trek lowers below and complete the look with a messy hair-do.


Wash Care
Cold and gentle machine washDo not use bleach, fabric softenerDo not ironAir dry, or low tumble dry



Delivery & Return Policy
Get free shipping and quick delivery. Pay online and save COD charge of Rs 50 per product. The return or exchange can be done within 10 days after delivery. Taking note of customers' care, we give contactless delivery throughout. For further information refer policy page","https://www.groovee.in/s/637b22156d77cd009523f663/65be3197e48113d8e4cecafc/151-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be3198e48113d8e4cecb0b/150-1800x1800.jpg",https://www.groovee.in/product/fansarmy-tokyo-revengers-jacket-embroidery-design
28563904,Groovee,T-Shirt Anime,Sold by: FANSARMY,FANSARMY Itachi Uchiha T-shirt,649,S|M|L|XL|XXL,"Description
Style
Regular Fit: Fits just right - not too tight, not too loose. 
Unisex Fit: Perfect fit for both Men and Women.
Fabric
100% Cotton Single Jersey and bio-washed.
• Preshrunked • Super Combed Compact Yarn for soft feel • 60-degree Color Fastness Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade
Design Brief
Best Anime Collection in India ""Itachi T-shirt. Bring the power of Uchiha Clan With Our Itachi Uchiha T-shirt.""","https://www.groovee.in/s/637b22156d77cd009523f663/65be3027cc8b354f60bee817/nabu-fold-463961_l-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be3027cc8b354f60bee80d/navy-front-100410_l-1800x1800.jpg",https://www.groovee.in/product/fansarmy-itachi-uchiha-t-shirt
33784384,Groovee,T-Shirt Anime,Sold by: FANSARMY,FANSARMY Tanjiro Oversize AOP Anime T-shirt,999,S|M|L|XL,"Description
Style
Over Size Fit: Fits loose. 
Unisex Fit: Perfectly style for both Men and Women.
Fabric
180 GSM Poly-Cotton Single Jersey and Bio-washed. • Sublimation Printed.

• Preshrunked • Super Combed Compact Yarn for soft feel • 60-degree Color Fastness Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade.
Style Brief
Dressing down has never been easier thanks to our oversized T-Shirts. We've got you covered with everything from off-work vibes to casual and sporty-cool looks. To complement out the slouchy look, pair your oversized T-Shirt with slim jeans or cycling shorts and lace-up sneakers.
Design Brief
It's time to hunt down the demon from this world. Bring the power of tanjiro and become a powerful demon slayer with our amazing Tanjiro Aop Oversize T-shirt. Buy Demon Slayer T shirts at Fans Army. Fans Army is the only place in India where you can buy these awesome anime t-shirts","https://www.groovee.in/s/637b22156d77cd009523f663/65be30a3744be24f67459286/45_782f738c-3ade-4bf5-a657-0fc6eff4bafa-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be30a4744be24f67459292/43_77f15ea4-92af-4b00-8983-aaa3724d2c9d-1800x1800.jpg",https://www.groovee.in/product/fansarmy-tanjiro-oversize-aop-anime-t-shirt
17872806,Groovee,T-Shirt Anime,Sold by: FANSARMY,FANSARMY Tokyo Manji Gang T-shirt,699,S|M|L|XL|XXL,"Description
Style
Regular Fit: Fits just right - not too tight, not too loose. 
Unisex Fit: Perfect fit for both Men and Women.
Fabric
100% Cotton Single Jersey and bio-washed.
• Preshrunked • Super Combed Compact Yarn for soft feel • 60-degree Color Fastness Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade
Design Brief
Best Anime T shirt Collection in India ""Tokyo Manji Gang T-shirt. Bring the Power of Ken Ryuguji with our Tokyo Revenger T-shirt Collection.""","https://www.groovee.in/s/637b22156d77cd009523f663/65be3175215925d8651119fc/tokyorevengermanjigang-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be3175215925d8651119e7/tokyorevengermanjigang-1-1800x1800.jpg",https://www.groovee.in/product/fansarmy-tokyo-manji-gang-t-shirt
43135853,Groovee,T-Shirt Anime,Sold by: FANSARMY,FANSARMY Zenitsu High Voltage Tank Top,549,S|M|L|XL|XXL,"Description:-

Style:- Classic, Stylish, and Great regular fit guaranteed – every single time.

Unisex Fit: Perfect fit for both Men and Women.

Fabric:- This tank top is made of premium quality 100% Pure Cotton with advanced. Bio-washed and Super Fine Combing method. No shrinkage and cotton shagginess after wash.
• Preshrunked • Super Combed Compact Yarn for soft feel • 60-degree Color Fastness 

Design Brief:- 
Introducing the ultimate tank top for anime enthusiasts - the Zenitsu Tank Top! Made of premium quality 180 GSM bio washed cotton, this tank top offers unmatched comfort and durability.
Featuring a bold front print of Zenitsu in high voltage mode, this tank top is a must-have for any fan of the popular anime series. The black color adds a touch of elegance to the overall design, making it a versatile addition to your wardrobe.
Whether you're hitting the gym or just lounging around, this tank top is the perfect choice. Its lightweight and breathable fabric will keep you cool and comfortable, while the stylish design will make you stand out from the crowd.
You can also wear this tank top as an undershirt for a cool and casual look. Pair it with your favorite jeans or shorts and you're good to go!
So, what are you waiting for? Grab the Zenitsu Tank Top today and show off your love for the electrifying character from the anime series. This tank top is a must-have for any true anime fan!

Wash Care:- Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade","https://www.groovee.in/s/637b22156d77cd009523f663/65be311fe48113d8e4ceb02f/26_cd42c811-9c14-4de9-9d27-5981fad66b77-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be3120e48113d8e4ceb03e/27_bfd44d77-ddc8-4a98-a918-32dcecc119ab-1800x1800.jpg",https://www.groovee.in/product/fansarmy-zenitsu-high-voltage-tank-top
90632131,Groovee,T-Shirt Anime,Sold by: FANSARMY,FANSARMY Seal X Kakashi Face T-shirt Combo,"1,199",S|M|L|XL|XXL,"Description
Style
Regular Fit: Fits just right - not too tight, not too loose. 
Unisex Fit: Perfect fit for both Men and Women.
Fabric
100% Cotton Single Jersey and bio-washed.
• Preshrunked • Super Combed Compact Yarn for soft feel • 60-degree Color Fastness Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade
Design Brief
Shop The Kakashi X Naruto Seal T-shirt Combo. The Best Naruto T-shirt Collection Available in India.   Wash Care:- Don’t Bleach & Wring • Dry in Shade.","https://www.groovee.in/s/637b22156d77cd009523f663/65be3154b85405c54b240eff/kakashitshirt1_1800x1800_1800x1800_681a8c21-0d33-46f4-823d-23ae62fd67f4-480x480.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be3154b85405c54b240f5c/sealtshirt_1800x1800_4b4409bf-1593-4b63-844d-87a247a78766-480x480.jpg",https://www.groovee.in/product/fansarmy-seal-x-kakashi-face-t-shirt-combo
91308407,Groovee,T-Shirt Anime,Sold by: FANSARMY,FANSARMY Draken Tokyo Revengers Anime T-shirt,599,S|M|L|XL|XXL,"Description
Style
Regular Fit: Fits just right - not too tight, not too loose. 
Unisex Fit: Perfect fit for both Men and Women.
Fabric
100% Cotton Single Jersey and bio-washed.
• Preshrunked • Super Combed Compact Yarn for soft feel • 60-degree Color Fastness Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade
Design Brief
Best Anime T shirt Collection in India ""Tokyo Manji Gang T-shirt. Bring the Power of Ken Ryuguji with our Tokyo Revenger T-shirt Collection.""","https://www.groovee.in/s/637b22156d77cd009523f663/65be317e8207f4d8c37e909b/tokyorev-253-0153-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be317e8207f4d8c37e90c2/tokyorev-253-0184-1800x1800.jpg",https://www.groovee.in/product/fansarmy-draken-tokyo-revengers-anime-t-shirt
