Product ID,Brand,Category,Solid By,Product Detail,Title,Price,Sizes,Description,Photo URLs,URL_Product
44523074,Groovee,Joggers,Sold by: ENNOBLE,"Color: BLACK
Washcare: MACHINE WASH
Fabric: COMBED COTTON
Occasion: CASUAL WEAR
",MEN TIE AND DYE PREMIUN COMBED COTTON COMFORT FIT JOGGERS,"3,399",S|M|L|XL,"This is an excellent choice for men who appreciate style and comfort. Our Men Tie and Dye Premiun Combed Cotton Comfort Fit Joggers are crafted from premium quality combed cotton fabric, and feature an oversized cargo loose fit. The subtle black tie and dye pattern adds a stylish touch to this timeless piece.","https://www.groovee.in/s/637b22156d77cd009523f663/65be2eedb85405c54b239c41/_lmc8754-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2eeeb85405c54b239c53/_lmc8756-1800x1800.jpg",https://www.groovee.in/product/men-tie-and-dye-premiun-combed-cotton-comfort-fit-joggers-6
93885362,Groovee,Joggers,Sold by: ENNOBLE,"Color: GREEN
Washcare: MACHINE WASH
Fabric: COMBED COTTON
Occasion: CASUAL WEAR
",MEN TIE AND DYE PREMIUN COMBED COTTON COMFORT FIT JOGGERS,"3,399",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2ef68207f4d8c37e15cc/_lmc8782-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2ef68207f4d8c37e15c9/_lmc8778-1800x1800.jpg",https://www.groovee.in/product/men-tie-and-dye-premiun-combed-cotton-comfort-fit-joggers
29777083,Groovee,Joggers,Sold by: ENNOBLE,"Color: PINK
Washcare: MACHINE WASH
Fabric: COMBED COTTON
Occasion: CASUAL WEAR
",MEN TIE AND DYE PREMIUN COMBED COTTON COMFORT FIT JOGGERS,"3,399",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2ef2215925d86510a6bb/_lmc8715-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2ef2215925d86510a6be/_lmc8711-1800x1800.jpg",https://www.groovee.in/product/men-tie-and-dye-premiun-combed-cotton-comfort-fit-joggers-1
08500789,Groovee,Joggers,Sold by: ENNOBLE,"Color: PURPLE
Washcare: MACHINE WASH
Fabric: COMBED COTTON
Occasion: CASUAL WEAR
",MEN TIE AND DYE PREMIUN COMBED COTTON COMFORT FIT JOGGERS,"3,399",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2eeefabaaa78b479f989/_lmc8805-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2eeefabaaa78b479f992/_lmc8798-1800x1800.jpg",https://www.groovee.in/product/men-tie-and-dye-premiun-combed-cotton-comfort-fit-joggers-5
34059966,Groovee,Joggers,Sold by: ENNOBLE,"Color: BLUE
Washcare: MACHINE WASH
Fabric: COMBED COTTON
Occasion: CASUAL WEAR
",MEN TIE AND DYE PREMIUN COMBED COTTON COMFORT FIT JOGGERS,"3,399",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2ef2744be24f67451e32/_lmc8821-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2ef1744be24f67451e16/_lmc8819-1800x1800.jpg",https://www.groovee.in/product/men-tie-and-dye-premiun-combed-cotton-comfort-fit-joggers-2
43663850,Groovee,Joggers,Sold by: ENNOBLE,"Color: BLUE
Washcare: MACHINE WASH
Fabric: VISCOSE
Occasion: CASUAL WEAR
",ENNOBLE MEN BLUE FORMAL TROUSER SLIM FIT Viscose Fabric  (Ankle),"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e8d8a14cf792536c920/img_1803-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e8d8a14cf792536c919/img_1802-1800x1800.jpg",https://www.groovee.in/product/ennoble-men-blue-formal-trouser-slim-fit-viscose-fabric-ankle-
35216191,Groovee,Joggers,Sold by: ENNOBLE,"Color: PINK
Washcare: MACHINE WASH
Fabric: COMBED COTTON
Occasion: CASUAL WEAR
",MEN TIE AND DYE PREMIUN COMBED COTTON COMFORT FIT JOGGERS,"3,399",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2ef2e48113d8e4ce5466/_lmc8733-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2ef2e48113d8e4ce5465/_lmc8738-1800x1800.jpg",https://www.groovee.in/product/men-tie-and-dye-premiun-combed-cotton-comfort-fit-joggers-3
63076868,Groovee,Joggers,Sold by: ENNOBLE,"Color: PINK
Washcare: MACHINE WASH
Fabric: COMBED COTTON
Occasion: CASUAL WEAR
",MEN TIE AND DYE PREMIUN COMBED COTTON COMFORT FIT JOGGERS,"3,399",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2eed8a14cf792536dd55/_lmc8835-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2eed8a14cf792536dd56/_lmc8838-1800x1800.jpg",https://www.groovee.in/product/men-tie-and-dye-premiun-combed-cotton-comfort-fit-joggers-4
